label	type	id	description
Culture & Leisure	category	4	
Fashion & Accessories	category	5	
Home & Living	category	10	
Travel	category	14	
Groceries	category	16	
Family & Kids	category	17	
Gaming	category	19	
Restaurant, Café & Pub	category	20	
Sports & Outdoors	category	21	
Finance & Insurance	category	22	
Freebies	category	30	
Ask	category	31	
Competitions	category	32	
Misc	category	33	
Adult Products	category	1341	
Air Conditioner	category	1410	
Alcohol	category	1466	
Apple	category	1735	
Apple TV	category	1743	
Audio & Hi-Fi	category	1932	
Childcare	category	2017	
Baileys	category	2088	
Barbie	category	2139	
Health & Beauty	category	2272	
Bed	category	2287	
Beer	category	2310	
Ben & Jerry's	category	2338	
Bike	category	2420	
Blu-ray	category	2556	
Board Game	category	2593	
Breakdown Cover	category	2801	
Broadband	category	2856	
Budweiser	category	2915	
Call of Duty	category	3073	
Camera	category	3106	
Car	category	3184	
Car Accessories	category	3185	
Car Hire	category	3196	
Car Parts	category	3202	
Car Seat	category	3206	
Carling	category	3245	
Carpet Cleaner	category	3256	
Cat Food	category	3323	
Celebrations	category	3382	
Champagne	category	3432	
Chocolate	category	3617	
Cinema	category	3680	
Clearance	category	3742	
Coffee	category	3854	
Coca Cola	category	3861	
Compost	category	3975	
Games Consoles	category	4035	
Arts and Crafts	category	4199	
Crocs	category	4264	
Cruises	category	4282	
Days Out	category	4693	
Dehumidifier	category	4804	
DeWalt	category	4920	
Dishwasher	category	5123	
DIY	category	5155	
Drill	category	5341	
Dulux	category	5429	
Dyson	category	5589	
Electric Toothbrush	category	5796	
Electronics	category	5811	
Eurostar Ticket	category	6012	
Eurotunnel	category	6014	
Fans	category	6237	
Food	category	6607	
Furniture	category	7019	
Gaming Chair	category	7143	
Garden	category	7155	
Garden Furniture	category	7158	
Garmin	category	7171	
Gin	category	7337	
Golf	category	7439	
Graphics Card	category	7539	
BBQs and Grills	category	7585	
Guinness	category	7650	
Hammock	category	7780	
Headphones	category	7946	
Package Holidays	category	8146	
Hotel	category	8262	
Insurance	category	8647	
iPhone	category	8704	
Iron	category	8752	
Jack Daniel's	category	8822	
Kettle	category	9172	
Lamb	category	9415	
Laptop	category	9442	
Lawnmower	category	9521	
Lego	category	9646	
Lego Star Wars	category	9652	
Lindt	category	9797	
MacBook	category	10084	
Makeup	category	10164	
Makita	category	10175	
Massage	category	10286	
Maternity & Pregnancy	category	10306	
Mattress	category	10321	
Microsoft 365	category	10583	
Microwave	category	10589	
Mobile Phone	category	10724	
Monitor	category	10783	
MOT	category	10846	
Movies & Series	category	10919	
Music	category	11049	
Nespresso	category	11419	
Nintendo	category	11547	
Sports Nutrition	category	11715	
Nvidia	category	11723	
O2	category	11742	
Odeon	category	11770	
Office Chair	category	11784	
Opticians	category	11903	
Outdoor Sports & Camping	category	11965	
Outlet	category	11982	
Paint	category	12055	
Parcel and Delivery Services	category	12119	
PC	category	12199	
Pepsi	category	12324	
Perfume	category	12337	
Petrol and Diesel	category	12417	
Phones & Accessories	category	12454	
Pizza	category	12634	
PlayStation	category	12721	
Pokémon	category	12781	
Pressure Washer	category	13009	
Printer & Printer Supplies	category	13049	
Protein	category	13158	
Pushchair	category	13276	
Quality Street	category	13325	
Railcard	category	13427	
Sale	category	14052	
Samsung	category	14073	
Samsung TV	category	14110	
School Supplies	category	14256	
Sim Free	category	14702	
Sky	category	14799	
Sofa	category	14964	
Soft Drinks	category	14970	
Software	category	14976	
SSD	category	15249	
Star Wars	category	15288	
Streaming	category	15429	
Student Discount	category	15461	
Suitcase	category	15503	
Sun Cream	category	15519	
Supermarket	category	15568	
Tablet	category	15726	
Takeaway and Food Delivery	category	15747	
Tent	category	15925	
Toaster	category	16364	
Toilet Roll	category	16379	
Trainers	category	16573	
Trampoline	category	16579	
Tumble Dryer	category	16710	
TV	category	16741	
Tyres	category	16825	
Video Games	category	17225	
Vinyl	category	17254	
Virgin	category	17258	
Vodafone	category	17346	
Vodka	category	17352	
Watch	category	17526	
Water Butt	category	17535	
Wedding	category	17607	
Whisky	category	17692	
Wine	category	17832	
Xbox	category	18106	
Xbox Live Gold	category	18157	
Yankee Candle	category	18234	
Salmon	category	19511	
Frozen Food	category	19823	
Scotch Whisky	category	19929	
Gaming Laptop	category	20620	
Shed	category	20760	
Beef	category	21346	
Amazon Prime	category	23187	
Butter	category	24184	
Spirit & Liqueur	category	24213	
MacBook Air	category	26018	
Ryobi	category	26690	
Gaming PC	category	28074	
Skechers	category	29519	
Hot Tub	category	31191	
Soundbar	category	33994	
EE	category	38396	
Cuprinol	category	39691	
Slow Cooker	category	40226	
App	category	45319	
Ferrero Rocher	category	45593	
Engine Oil	category	50311	
Home Accessories	category	51166	
Advent Calendar	category	52171	
Xbox Controller	category	53593	
VPN	category	55789	
Electric Bike	category	56365	
OLED TV	category	60886	
Price Glitch	category	61062	
Wearable	category	80503	
Kindle	category	82890	
Cooking Oil	category	88415	
iPad	category	104476	
Basmati Rice	category	110077	
Rattan Garden Furniture	category	113834	
PlayStation Plus	category	119697	
Lego Technic	category	139037	
Amazon Resale	category	155573	
Smart TV	category	157939	
Chromebook	category	170043	
Hair Dryer	category	181419	
Drinks	category	184150	
Clothes	category	184153	
PC Game	category	184168	
Pet Supplies	category	184415	
Gift Card	category	184602	
GoPro	category	184838	
Toys	category	184854	
Tools	category	185059	
Shoes	category	185086	
Gifts	category	185240	
Flights	category	185250	
Fitbit	category	185273	
Dinner Set	category	185594	
Lighting	category	186739	
Easter Eggs	category	187034	
Sim Only	category	187328	
Fashion for Women	category	188468	
Christmas Tree	category	191662	
Coffee Machine	category	199434	
Fridge Freezer	category	204376	
Milwaukee	category	212022	
Kindle Paperwhite	category	218214	
Now	category	220368	
Air Fryer	category	223286	
Men's Fragrance	category	226503	
Vacuum Cleaner	category	227491	
Gaming Monitor	category	228038	
Smart Watch	category	231683	
Xiaomi	category	236360	
Xbox One Games	category	246239	
Chest Freezer	category	248126	
PS4 Controller	category	261205	
PS4 Games	category	264130	
Smart Home	category	273036	
Dash Cam	category	277802	
4K TV	category	279810	
Philips Hue	category	284272	
Apple Watch	category	290516	
Amazon Fire TV Stick	category	301423	
iPad Pro	category	308413	
Google Pixel	category	327200	
Nintendo Switch	category	328137	
4K Blu-ray	category	329533	
Apple AirPods	category	341695	
55 inch TV	category	342581	
65 inch TV	category	342583	
Nvidia Shield	category	342587	
Electronic Accessories	category	342637	
Nintendo Switch Game	category	342651	
Nintendo Switch Joy-Con	category	342653	
Gaming Accessories	category	342659	
Xiaomi Smartphones	category	342719	
Music Streaming	category	342767	
Nike Trainers	category	342785	
Activewear	category	342795	
Fitness & Running	category	342797	
Home Appliances	category	342815	
Karcher Window Vacuum	category	342835	
Kitchen Appliances	category	342841	
Electric Blanket	category	342877	
Power Tool	category	342887	
Stationery & Office Supplies	category	342895	
Train Ticket	category	342905	
Irish Whiskey	category	342925	
Home Care	category	342931	
Books & Magazines	category	343000	
Tickets & Shows	category	343001	
Courses and Training	category	343003	
Team Sports	category	343005	
Recreational Sports	category	343006	
Garden & Do It Yourself	category	343010	
Car & Motorcycle	category	343011	
Vehicles	category	343012	
Motorcycle Accessories	category	343013	
Garage & Service	category	343014	
Accommodation	category	343015	
Trains & Buses	category	343016	
Personal Care & Hygiene	category	343017	
Services & Contracts	category	343021	
Dior Sauvage	category	343024	
Services and Subscriptions	category	343025	
Energy, Heating & Gas	category	343026	
Local Traffic	category	343027	
Broadband & Phone Contracts	category	343029	
Dyson Supersonic	category	343043	
Fashion Accessories	category	343044	
Healthcare	category	343045	
PC Gaming Systems	category	343087	
Electric Scooter	category	343113	
Fruit and Vegetables	category	343127	
Video Streaming	category	343131	
Samsung Galaxy Watch	category	343150	
32 inch TV	category	343182	
75 inch TV	category	343183	
Official Announcements	category	343197	
Retailer Offers & Issues	category	343199	
Buying From Abroad	category	343200	
Money Saving Tips & Tricks	category	343201	
Wellness, Fitness & Massages	category	343204	
Holidays and Trips	category	343262	
PC Parts	category	343266	
Ring Video Doorbell	category	343295	
Protein Bars	category	343310	
Amazon Fire Tablet	category	343353	
Lego Harry Potter	category	343383	
Apple Airpods Pro	category	343448	
Xbox Game Pass	category	343468	
Meta Quest	category	343513	
Henry Hoover	category	343538	
Disney+	category	343547	
Watersports	category	343577	
Sony WH-1000XM4	category	343595	
Apple Watch SE	category	343606	
PS5	category	343607	
PS5 DualSense controllers	category	343608	
PS5 Games	category	343609	
RTX 3070	category	343612	
Xbox Series X	category	343615	
Xbox Series S	category	343616	
Kindle Book	category	343691	
Apple AirTag	category	343718	
Permanent Offers	category	343724	
iPhone 13	category	343728	
Apple Watch 7	category	343732	
Nintendo Switch OLED	category	343736	
Google Pixel 6	category	343741	
Samsung Galaxy S22	category	343749	
Samsung Galaxy S22 Ultra	category	343751	
FIFA 23	category	343759	
Apple Watch 8	category	343762	
iPhone 14	category	343763	
iPhone 14 Pro	category	343765	
Apple Watch Ultra	category	343768	
Game Time Cards	category	343772	
Ninja Foodi Max	category	343776	
Samsung Galaxy S23	category	343799	
