label	type	id	description
Culture & Leisure	category	4	TITLE: Culture & Leisure DESCRIPTION: The Culture & Leisure category in the UK encompasses a diverse array of entertainment options, including cinema tickets, theatre performances, concerts, festivals, and exhibitions. This category features deals on popular movies, West End shows, live music events, and cultural festivals across the UK. It caters to a wide audience with interests in arts, entertainment, and recreational activities. Key terms include "entertainment deals," "cultural events," "theatre tickets," "concert discounts," and "museum passes." Related categories include Travel & Holidays for event-based travel packages and Electronics for home entertainment systems. Complementary products might involve dining experiences or accommodation offers near event venues. This category is distinct from Sports & Outdoor activities by focusing on artistic and leisure pursuits rather than physical activities. With a variety of affordable options, Culture & Leisure is ideal for families, couples, and groups seeking enriching experiences in the British cultural scene. KEYWORDS: Culture & Leisure
Fashion & Accessories	category	5	TITLE: Fashion & Accessories DESCRIPTION: Ted Baker, a renowned British fashion brand, offers an extensive range of contemporary apparel and accessories known for their imaginative prints and vibrant colours. Originating as a shirt maker in Glasgow in 1987, Ted Baker has expanded globally with collections that include menswear, womenswear, footwear, accessories, homeware, and beauty products. The brand is synonymous with quality craftsmanship, using sustainable materials like Tencel and organic cotton. Ted Baker's menswear features versatile pieces with quirky accents, while womenswear boasts luxurious silk skirts and signature wool wrap coats. Accessories such as handbags, purses, and luggage are crafted with meticulous attention to detail. Ted Baker shoes offer classic styles with durable materials, and their eyewear showcases retro and modern frames. The beauty line includes perfumes and skincare products in decorative packaging. Ted Baker is available at major UK retailers like John Lewis and House of Fraser, with significant discounts during sales events like Black Friday. Related brands include Paul Smith, Thomas Sabo, and Fred Perry. KEYWORDS: Timberland; Kurt Geiger; Geox; K-Swiss; K Swiss; Thomas Sabo; Tokyo Laundry; Cath Kidston; Lyle & Scott; Lyle and Scott; Helly Hansen; Fred Perry; Original Penguin; Dickies; Paul Smith; Belstaff; Ted Baker; Etnies; Lipsy; Jack & Jones
Home & Living	category	10	TITLE: Home & Living DESCRIPTION: The "Home & Living" category encompasses a diverse range of products designed to enhance the comfort and functionality of your home environment. Key items include home furnishings such as bedding, kitchenware, and furniture, alongside essential kitchen appliances like coffee machines and dishwashers. Prominent brands in this category include Victorinox, JML, Beko, Habitat, Brabantia, Salter, Le Creuset, Rowenta, Hotpoint, Smeg, Indesit, Zanussi, Minky, Simplehuman, Villeroy & Boch, and Morphy Richards. This category is closely related to other home improvement areas such as "Garden & Outdoor," "Home Decor," and "Smart Home Devices," offering cross-category opportunities for comprehensive home solutions. British consumers will find region-specific products and deals tailored to local preferences. Distinct from categories focused solely on electronics or outdoor equipment, "Home & Living" integrates aesthetics with practicality to create a harmonious living space. KEYWORDS: Victorinox; JML; Beko; Habitat; Brabantia; Salter; Le Creuset; Rowenta; Hotpoint; Smeg; Indesit; Zanussi; Minky; Simplehuman; Villeroy & Boch; Villeroy and Boch; Morphy Richards; Home & Living
Travel	category	14	TITLE: Travel DESCRIPTION: The Travel category in the UK encompasses a wide range of products and services designed to enhance the travel experience, including luggage, travel accessories, and travel guides. Key terms include suitcases, backpacks, carry-ons, and duffel bags from popular brands like Samsonite, Antler, and Eastpak. Travel accessories cover passport holders, travel pillows, adapters, and toiletry bags. This category also includes travel insurance options and currency converters, essential for international trips. Related categories feature outdoor gear for camping and hiking, as well as electronics like noise-cancelling headphones and portable chargers. Complementary products include travel-sized toiletries and first aid kits. The British market prioritizes compact, durable, and stylish products suited for both domestic and international travel. Distinct from holiday packages or flight bookings, this category focuses on physical travel essentials. Users often search for "best luggage for Europe," "UK travel accessories," and "travel essentials checklist."
Groceries	category	16	TITLE: Groceries DESCRIPTION: The Groceries category encompasses a wide range of everyday essentials and pantry staples, catering to the diverse needs of UK households. This category includes fresh produce such as fruits and vegetables, snacks like candies, and a variety of beverages. Prominent UK grocery retailers like Tesco, Sainsbury's, Morrisons, Waitrose, and Asda offer numerous deals and discounts, making it easier for consumers to save on their weekly shopping. Key brands featured in this category include Activia for yoghurts, Meridian for nut butters, and Muller for dairy products. Household essentials are well-represented with Comfort fabric conditioners available in various formulations and sizes such as Comfort Pure, Comfort Intense, and Comfort Creations. Regina offers quality paper products, while Tilda provides premium rice options like Tilda Basmati Rice and Tilda Pure. This category is distinct from speciality food categories by focusing on general grocery items and household staples, supporting cross-category recommendations with related products like kitchenware and cleaning supplies. KEYWORDS: Activia; Meridian; Muller; Comfort Sunshiny Days; Comfort Pure Fabric Conditioner; Comfort Fabric Conditioner; Comfort Conditioner; Comfort Pure; Comfort 85 Washes; Comfort 3L; Comfort Intense; Comfort Concentrate; Comfort 1.26L; Comfort 166 Washes; Comfort Creations; Regina; Tilda Rice; Tilda Basmati Rice; Tilda Pure; Tilda Broken Basmati
Family & Kids	category	17	TITLE: Family & Kids DESCRIPTION: The "Family & Kids" category is your comprehensive destination for affordable and high-quality products catering to families in the UK. This section features a diverse range of items, from essential baby gear like Cybex and Maxi Cosi car seats to engaging toys such as LEGO, Little Tikes, and VTech educational tools. Discover clothing and accessories from beloved brands like Disney's Frozen, Marvel, and Peppa Pig, ensuring your little ones are stylishly outfitted. For entertainment, explore options featuring characters from Toy Story, Teenage Mutant Ninja Turtles, and Scooby Doo. This category also includes practical solutions for school supplies and nursery essentials, offering deals on top brands like Graco and Aquadoodle. Whether preparing for a new arrival or seeking the latest Nerf toys or Playmobil sets, our curated selection supports every stage of childhood development. Enjoy cross-category recommendations with related areas such as "Toys & Games" and "Baby Essentials," making shopping for your family both enjoyable and budget-friendly. KEYWORDS: Cybex; Aquadoodle; Little Tikes; Maxi Cosi; Graco; Disney's Frozen; Disneys Frozen; Disney Frozen; Disney's Cars; Disneys Cars; Disney Princess; Beauty and the Beast; Lion King; Toy Story; Teenage Mutant Ninja Turtles; Scooby Doo; Scoobi Doo; Scooby Do; Despicable Me; Chad Valley
Gaming	category	19	TITLE: Gaming DESCRIPTION: The Gaming category encompasses a diverse range of products and brands tailored for enthusiasts and casual players alike. This category includes consoles like Wii and accessories from renowned brands such as Alienware, ASTRO Gaming, Hori, Thrustmaster, Saitek, and Mad Catz. It features gaming PCs like Acer Predator and Razer, alongside VR headsets such as Meta Quest. Popular game publishers like Ubisoft, Blizzard, Sega, and Telltale offer immersive experiences with characters like Luigi and Yoshi. Essential peripherals include HOTAS setups for flight simulators and high-performance gaming headsets. This category relates closely to PC components, entertainment systems, and software applications. It caters to a wide audience, from those seeking the latest in virtual reality to fans of classic console games. Whether you're exploring new worlds or competing in esports, this category offers everything needed for a comprehensive gaming setup in the UK market. KEYWORDS: Wii; Alienware; ASTRO Gaming; HOTAS; Sega; Telltale; Ubisoft; Mad Catz; Luigi; Yoshi; Hori; Thrustmaster; Saitek; Gaming; Meta Quest; Blizzard; Acer Predator; Razer
Restaurant, Café & Pub	category	20	TITLE: Restaurant, Café & Pub DESCRIPTION: The "Restaurant, Café & Pub" category in the UK encompasses a diverse range of dining and social venues, including popular chains like Nando's, Caffè Nero, and Starbucks, as well as traditional British pubs. This category caters to various culinary preferences and social experiences, from casual dining at Zizzi or GBK (Gourmet Burger Kitchen) to enjoying a pizza at Papa John's. It also includes café experiences at Café Rouge and local cafés offering artisanal coffee and pastries. Pubs serve as quintessential British establishments for social gatherings, often featuring a selection of ales, lagers, and pub fare. The category is closely related to food delivery services and loyalty programmes such as tastecard, enhancing dining affordability and convenience. Distinct from fast-food joints, this category emphasizes sit-down meals and beverages in a convivial atmosphere. It intersects with related categories like food delivery, dining deals, and beverage services, providing comprehensive options for eating out or meeting friends. KEYWORDS: Nando's; Nandos; Caffè Nero; Caffe Nero; cafe nero; Cafè nero; Café Rouge; Cafe Rouge; Starbucks; tastecard; GBK; Zizzi; Papa John's; Papa Johns; Restaurants; Burger King; Pub; Pubs; cafe; cafés
Sports & Outdoors	category	21	TITLE: Sports & Outdoors DESCRIPTION: The "Sports & Outdoors" category encompasses a diverse range of products and brands tailored for active lifestyles and outdoor adventures. Key brands such as Quiksilver, Oakley, Jack Wolfskin, Trespass, Salomon, Vango, Karrimor, Camelbak, Regatta, Reebok, Rab, The North Face, Puma, Shimano, Tacx, Billabong, Quechua, and Osprey offer high-quality sportswear, equipment, and accessories. This category includes essential items for various activities such as hiking, cycling, camping, running, and gym workouts. Products range from durable backpacks and hydration systems to performance footwear and technical apparel. Complementary categories include Fitness Equipment, Outdoor Apparel, Camping Gear, and Cycling Accessories. Popular British market terms and brands are highlighted to cater to regional preferences. This category distinguishes itself by focusing on both indoor and outdoor sports needs, ensuring enthusiasts find everything from gym memberships to camping essentials. Perfect for those searching for deals on sports gear or planning their next adventure. KEYWORDS: Quiksilver; Oakley; Jack Wolfskin; Trespass; Salomon; Vango; Karrimor; Camelbak; Regatta; Reebok; Rab; The North Face; North Face; Puma; Shimano; Tacx; Billabong; Quechua; Osprey; Campingaz
Finance & Insurance	category	22	TITLE: Finance & Insurance DESCRIPTION: The Finance & Insurance category encompasses a wide range of financial services and insurance products tailored for the UK market. Key offerings include credit cards, personal loans, mortgages, and comprehensive insurance solutions from leading British institutions like Aviva, Santander, NatWest (National Westminster), Barclays, and Halifax Bank. This category also covers the burgeoning field of cryptocurrencies, featuring platforms such as eToro and Coinbase, and digital currencies like Bitcoin (BTC), Ethereum, Litecoin, and Polkadot. Users can explore cryptoassets management tools such as ledgers for secure transactions. Related categories include Personal Finance Management, Investment Planning, and Risk Assessment Services. Complementary products involve financial advisory services and budgeting tools. The Finance & Insurance category is distinct from general banking by focusing on both traditional financial instruments and modern digital currencies, providing a holistic approach to managing and securing personal wealth in the UK. KEYWORDS: Aviva; Santander; NatWest; National Westminster; Barclays; cryptocurrency; Polkadot; crypto; eToro; Coinbase; Bitcoin; Litecoin; Ethereum; cryptocurrencies; cryptoassets; BTC; ledger; Finance & Insurance; Halifax Bank
